Id,FriendlyName,Category,Priority
571a26d524597720680fbe8a,116mm 7.62x25 TT barrel,Attachments,1 Low
5b3baf8f5acfc40dc5296692,116mm 7.62x25 TT gilded barrel,Attachments,2 Medium
5cde8864d7f00c0010373be1,12.7x108 mm B-32,Ammo,1 Low
5d2f2ab648f03550091993ca,12.7x108 mm BZT-44M,Ammo,1 Low
5caf1041ae92157c28402e3f,"12.7x55 magazine for ASh-12, 10-round capacity",Attachments,1 Low
5caf1109ae9215753c44119f,"12.7x55 magazine for ASh-12, 20-round capacity",Attachments,1 Low
5cadf6ddae9215051e1c23b2,12.7x55 mm PS12,Ammo,1 Low
5cadf6e5ae921500113bb973,12.7x55 mm PS12A,Ammo,1 Low
5cadf6eeae921500134b2799,12.7x55 mm PS12B,Ammo,3 High
5d6e6891a4b9361bd473feea,"12/70 ""Poleva-3"" Slug",Ammo,1 Low
5d6e689ca4b9361bc8618956,"12/70 ""Poleva-6u"" Slug",Ammo,1 Low
5d6e6772a4b936088465b17c,12/70 5.25mm Buckshot,Ammo,1 Low
5d6e6806a4b936088465b17e,"12/70 8.5 mm ""Magnum"" Buckshot",Ammo,1 Low
5d6e68a8a4b9360b6c0d54e2,12/70 AP-20 Slug,Ammo,1 Low
5d6e68dea4b9361bcc29e659,12/70 Dual Sabot Slug,Ammo,1 Low
5d6e6911a4b9361bd5780d52,12/70 Flechette,Ammo,1 Low
5d6e68e6a4b9361c140bcfe0,12/70 FTX Custom LIte Slug,Ammo,1 Low
5d6e6869a4b9361c140bcfde,12/70 Grizzly 40 Slug,Ammo,1 Low
5d6e68d1a4b93622fe60e845,"12/70 HP Slug ""SuperFormance""",Ammo,1 Low
5d6e68b3a4b9361bca7e50b5,12/70 HP Slug Copper Sabot Premier,Ammo,1 Low
5737292724597765e5728562,120 pcs. 5.45x39 BP gs ammo pack,Ammo Pack,1 Low
57372a7f24597766fe0de0c1,120 pcs. 5.45x39 BP gs ammo pack (damaged),Ammo Pack,1 Low
57372b832459776701014e41,BS Ammo (120),Ammo Pack,3 High
57372bad245977670b7cd242,BS Ammo (120) (dmg),Ammo Pack,3 High
57372c21245977670937c6c2,120 pcs. 5.45x39 BT gs ammo pack,Ammo Pack,2 Medium
57372c56245977685e584582,120 pcs. 5.45x39 BT gs ammo pack (damaged),Ammo Pack,2 Medium
57372d1b2459776862260581,120 pcs. 5.45x39 PP gs ammo pack,Ammo Pack,1 Low
57372d4c245977685a3da2a1,120 pcs. 5.45x39 PP gs ammo pack (damaged),Ammo Pack,1 Low
57372deb245977685d4159b3,120 pcs. 5.45x39 PRS gs ammo pack,Ammo Pack,1 Low
57372e1924597768553071c1,120 pcs. 5.45x39 PRS gs ammo pack (damaged),Ammo Pack,1 Low
57372e73245977685d4159b4,120 pcs. 5.45x39 PS gs ammo pack,Ammo Pack,1 Low
57372e94245977685648d3e1,120 pcs. 5.45x39 PS gs ammo pack (damaged),Ammo Pack,1 Low
57372ee1245977685d4159b5,120 pcs. 5.45x39 T gs ammo pack,Ammo Pack,1 Low
57372f2824597769a270a191,120 pcs. 5.45x39 T gs ammo pack (damaged),Ammo Pack,1 Low
57372f7d245977699b53e301,120 pcs. 5.45x39 US gs ammo pack,Ammo Pack,1 Low
57372fc52459776998772ca1,120 pcs. 5.45x39 US gs ammo pack (damaged),Ammo Pack,1 Low
5d25a6a48abbc306c62e6310,12-round .308 MDT AICS M700 magazine,Attachments,1 Low
5d6e67fba4b9361bc73bc779,"12x70 6.5 mm ""Express"" Buckshot",Ammo,1 Low
560d5e524bdc2d25448b4571,12x70 7mm Buckshot,Ammo,1 Low
58820d1224597753c90aeb13,12x70 Led slug,Ammo,1 Low
5c0d591486f7744c505b416f,12x70 RIP,Ammo,2 Medium
5d6e68c4a4b9361b93413f79,12x70 shell with .50 BMG bullet,Ammo,1 Low
5c5db5c62e22160012542255,"14"" 9x19 barrel for MPX",Attachments,1 Low
5bb20d9cd4351e00334c9d8a,"14.5"" barrel for 416A5 and compatible 5.56x45",Attachments,1 Low
5beec1bd0db834001e6006f3,"15"" barrel for RPK-16 and compatible 5.45x39",Attachments,1 Low
5dcbe9431e1f4616d354987e,16 in. MDR .308 Barrel,Attachments,3 High
573722e82459776104581c21,16 pcs. 9x18 PM BZHT gzh ammo box,Ammo Pack,1 Low
573724b42459776125652ac2,16 pcs. 9x18 PM P gzh ammo box,Ammo Pack,1 Low
5737250c2459776125652acc,16 pcs. 9x18 PM PBM ammo box,Ammo Pack,1 Low
5737256c2459776125652acd,16 pcs. 9x18 PM PMM ammo box,Ammo Pack,1 Low
573725b0245977612125bae2,16 pcs. 9x18 PM Ppe gzh ammo box,Ammo Pack,1 Low
5737260b24597761224311f2,16 pcs. 9x18 PM PPT gzh ammo box,Ammo Pack,1 Low
5737266524597761006c6a8c,16 pcs. 9x18 PM PRS gs ammo box,Ammo Pack,1 Low
573726d824597765d96be361,16 pcs. 9x18 PM PS gs PPO ammo box,Ammo Pack,1 Low
5737273924597765dd374461,16 pcs. 9x18 PM PSO gzh ammo box,Ammo Pack,1 Low
573727c624597765cc785b5b,16 pcs. 9x18 PM Pst gzh ammo box,Ammo Pack,1 Low
5737280e24597765cc785b5c,16 pcs. 9x18 PM PSV ammo box,Ammo Pack,1 Low
5737287724597765e1625ae2,16 pcs. 9x18 PM RG028 gzh ammo box,Ammo Pack,1 Low
573728cc24597765cc785b5d,16 pcs. 9x18 PM SP7 gzh ammo box,Ammo Pack,1 Low
573728f324597765e5728561,16 pcs. 9x18 PM SP8 gzh ammo box,Ammo Pack,1 Low
5739d41224597779c3645501,16 pcs. 9x19 Pst Gzh ammo box,Ammo Pack,1 Low
5aaf9d53e5b5b00015042a52,"16"" barrel for a M1A 7.62x51 NATO",Attachments,1 Low
5cc701d7e4a94900100ac4e7,"16"" barrel for P90 5.7x28",Attachments,1 Low
5b7be1125acfc4001876c0e5,"16"" barrel for SA-58 7.62x51",Attachments,1 Low
5df917564a9f347bc92edca3,"16"" barrel for SR-25 and compatible 7.62x51",Attachments,1 Low
5bb20da5d4351e0035629dbf,"16.5"" barrel for 416A5 and compatible 5.56x45",Attachments,2 Medium
58aeaaa886f7744fc1560f81,165 mm 9x19 barrel for MPX-SD,Attachments,1 Low
5a34f7f1c4a2826c6e06d75d,"18"" barrel for a AR-10 and compatible 7.62x51 NATO",Attachments,2 Medium
5d440b93a4b9364276578d4b,"18"" barrel for AR-15 and compatible 5.56x45",Attachments,2 Medium
5d0b5cd3d7ad1a3fe32ad263,1P59 scope eyecup,Attachments,1 Low
5c11279ad174af029d64592b,20 pcs pack 5.56x45 Warmage ammo,Ammo Pack,1 Low
5c1127bdd174af44217ab8b9,20 pcs. 9x19 mm DIPP ammo box,Ammo Pack,2 Medium
5bb20dadd4351e00367faeff,"20"" barrel for 416A5 and compatible 5.56x45",Attachments,2 Medium
5bfebc320db8340019668d79,"20"" barrel for a Remington M700 7.62x51 NATO",Attachments,1 Low
5d440b9fa4b93601354d480c,"20"" barrel for AR-15 and compatible 5.56x45",Attachments,1 Low
5dfa397fb11454561e39246c,"20"" barrel for SR-25 and compatible 7.62x51",Attachments,2 Medium
5d2703038abbc3105103d94c,"20"" stainless steel barrel for a Remington M700 7.62x51 NATO",Attachments,1 Low
5d6e695fa4b936359b35d852,20/70 5.6mm Buckshot,Ammo,1 Low
5d6e69b9a4b9361bc8618958,20/70 6.2mm Buckshot,Ammo,1 Low
5d6e69c7a4b9360b6c0d54e4,20/70 7.3mm Buckshot,Ammo,1 Low
5d6e6a5fa4b93614ec501745,20/70 Devastator Slug,Ammo,1 Low
5d6e6a53a4b9361bd473feec,"20/70 Slug ""Poleva-3""",Ammo,1 Low
5d6e6a42a4b9364f07165f52,20/70 Slug Poleva-6u,Ammo,1 Low
5d6e6a05a4b93618084f58d0,20/70 Star Slug,Ammo,1 Low
5894a2c386f77427140b8342,203 mm 9x19 barrel for MPX,Attachments,1 Low
57838f9f2459774a150289a0,20-round 6L25 9x39 VSS magazine,Attachments,1 Low
5c88f24b2e22160bc12c69a6,20-round SVD 7.62x54 magazine,Attachments,1 Low
5a38ebd9c4a282000d722a5b,20x70 7.5mm Buckshot,Ammo,1 Low
5b7be1265acfc400161d0798,"21"" barrel for SA-58 7.62x51",Attachments,1 Low
5a34fae7c4a2826c6e06d760,"22"" barrel for a AR-10 and compatible 7.62x51 NATO",Attachments,1 Low
5addbac75acfc400194dbc56,"22"" barrel for a M1A 7.62x51 NATO",Attachments,1 Low
5c471cb32e221602b177afaa,"22"" barrel for a SVDS 7.62x54",Attachments,1 Low
5beec2820db834001b095426,"22"" barrel for RPK-16 and compatible 5.45x39",Attachments,1 Low
5de65547883dde217541644b,"23"" barrel for a VPO-215 .366TKM",Attachments,1 Low
57d17e212459775a1179a0f5,25 mm mount ring,Attachments,1 Low
5dff77c759400025ea5150cf,25mm rings made by UTG,Attachments,1 Low
5bfebc250db834001a6694e1,"26"" barrel for a Remington M700 7.62x51 NATO",Attachments,1 Low
5d2702e88abbc31ed91efc44,"26"" stainless steel barrel for a Remington M700 7.62x51 NATO",Attachments,1 Low
55d35ee94bdc2d61338b4568,260mm barrel for AR-15 and compatible 5.56x45,Attachments,2 Medium
5a5f1ce64f39f90b401987bc,2IRS Klesch flashlight + laser designator,Attachments,2 Medium
560d657b4bdc2da74d8b4572,2P Klesch flashlight + laser designator,Attachments,1 Low
5a38ee51c4a282000c5a955c,2-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,Attachments,1 Low
5b3a337e5acfc4704b4a19a0,"2U ""Kleh"" tactical flashlight",Attachments,2 Medium
5926e16e86f7742f5a0f7ecb,3 Lug thread protector,Attachments,1 Low
5c0000c00db834001a6697fc,3 Lug threaded protector,Attachments,1 Low
5c1262a286f7743f8a69aab2,7N39 Ammo (30),Ammo Pack,3 High
57372ac324597767001bc261,30 pcs. 5.45x39 BP gs ammo pack,Ammo Pack,1 Low
57372bd3245977670b7cd243,BS Ammo (30),Ammo Pack,3 High
57372c89245977685d4159b1,30 pcs. 5.45x39 BT gs ammo pack,Ammo Pack,1 Low
5737330a2459776af32363a1,30 pcs. 5.45x39 FMJ ammo box,Ammo Pack,1 Low
5737339e2459776af261abeb,30 pcs. 5.45x39 HP ammo box,Ammo Pack,1 Low
57372db0245977685d4159b2,30 pcs. 5.45x39 PP gs ammo pack,Ammo Pack,1 Low
57372e4a24597768553071c2,30 pcs. 5.45x39 PRS gs ammo pack,Ammo Pack,1 Low
57372ebf2459776862260582,30 pcs. 5.45x39 PS gs ammo pack,Ammo Pack,2 Medium
573733c72459776b0b7b51b0,30 pcs. 5.45x39 SP ammo box,Ammo Pack,1 Low
57372f5c24597769917c0131,30 pcs. 5.45x39 T gs ammo pack,Ammo Pack,1 Low
5737300424597769942d5a01,30 pcs. 5.45x39 US gs ammo pack,Ammo Pack,1 Low
5b2389515acfc4771e1be0c0,30mm ring-mount AR- P.E.P.R. made by Burris,Attachments,1 Low
5a37ca54c4a282000d72296a,30mm ring-mount made by JP,Attachments,1 Low
5bfebc5e0db834001a6694e5,30mm ring-mount Remington integral for model 700 rifles,Attachments,1 Low
5b3b99265acfc4704b4a1afb,30mm rings made by Nightforce,Attachments,1 Low
57c69dd424597774c03b7bbc,30mm Scope mount,Attachments,1 Low
5bed61680db834001d2c45ab,30-round 5.45x39 magazine for AK-12 and compatibles,Attachments,1 Low
55d480c04bdc2d1d4e8b456a,30-round 6L23 5.45x39 magazine for AK-74 and compatibles,Attachments,1 Low
5cbdaf89ae9215000e5b9c94,30-round 6L23 Plum 5.45x39 magazine for AK-74 and compatibles,Attachments,1 Low
5ac66bea5acfc43b321d4aec,30-round 7.62x39 magazine for AK-103 and compatible weapons,Attachments,1 Low
5a9e81fba2750c00164f6b11,30-round SR3M.130 9x39 SR3M magazine,Attachments,2 Medium
5d70e500a4b9364de70d38ce,30x29 mm VOG-30,Ammo,1 Low
5c86592b2e2216000e69e77c,34mm one piece magmount made by I-E-A Mil Optics,Attachments,1 Low
5aa66a9be5b5b0214e506e89,34mm one piece magmount made by Nightforce,Attachments,1 Low
5aa66c72e5b5b00016327c93,34mm one piece magmount made by Nightforce with a Multimount rail,Attachments,1 Low
5a787f25c5856700186c4ab9,355mm barrel for M870 12ga,Attachments,1 Low
55d3632e4bdc2d972f8b4569,370mm barrel for AR-15 and compatible 5.56x45,Attachments,1 Low
5c0e805e86f774683f3dd637,3dOp. BP,Backpack,3 High
5c5db5852e2216003a0fe71a,"4.5"" 9x19 barrel for MPX",Attachments,1 Low
5ba26812d4351e003201fef1,4.6x30mm Action SX,Ammo,1 Low
5ba26835d4351e0035628ff5,4.6x30mm AP SX,Ammo,3 High
5ba2678ad4351e44f824b344,4.6x30mm FMJ SX,Ammo,2 Medium
5ba26844d4351e00334c9475,4.6x30mm Subsonic SX,Ammo,3 High
5656eb674bdc2d35148b457c,40 VOG-25,Ammo,1 Low
5c48a2852e221602b21d5923,406mm barrel for MDR and compatible 5.56x45,Attachments,1 Low
5c0e2f94d174af029f650d56,406mm Molot barrel for AR-15 and compatible 5.56x45,Attachments,1 Low
544a378f4bdc2d30388b4567,40-round PMAG GEN M3 40 5.56x45 STANAG magazine,Attachments,1 Low
5d1340bdd7ad1a0e8d245aab,40-round PMAG GEN M3 FDE 40 5.56x45 STANAG magazine,Attachments,1 Low
5bc9be8fd4351e00334cae6e,42nd Signature Blend English Tea,Barter Items,3 High
55d481904bdc2d8c2f8b456a,45-round 6L26 5.45x39 magazine for AK-74 and compatibles,Attachments,1 Low
5a7882dcc5856700177af662,4-shell M870 12ga magazine cap,Attachments,1 Low
5a38ed75c4a28232996e40c6,4-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,Attachments,1 Low
5c1127d0d174af29be75cf68,5 pcs. 12x70 DIPP ammo box,Ammo Pack,1 Low
5b44cad286f77402a54ae7e5,Tactec ArmRig,Armored Rig,3 High
5cf4e3f3d7f00c06595bc7f0,"5.45 Design ""Aggressor"" handguard for AK",Attachments,3 High
5c0d5e4486f77478390952fe,"5.45x39 mm 7N39 ""Igolnik""",Ammo,3 High
56dfef82d2720bbd668b4567,5.45x39 mm BP,Ammo,2 Medium
56dff026d2720bb8668b4567,5.45x39 mm BS,Ammo,3 High
56dff061d2720bb5668b4567,5.45x39 mm BT,Ammo,2 Medium
56dff0bed2720bb0668b4567,5.45x39 mm FMJ,Ammo,1 Low
56dff216d2720bbd668b4568,5.45x39 mm HP,Ammo,1 Low
56dff2ced2720bb4668b4567,5.45x39 mm PP,Ammo,1 Low
56dff338d2720bbd668b4569,5.45x39 mm PRS,Ammo,1 Low
56dff3afd2720bba668b4567,5.45x39 mm PS,Ammo,1 Low
56dff421d2720b5f5a8b4567,5.45x39 mm SP,Ammo,1 Low
56dff4a2d2720bbd668b456a,5.45x39 mm T,Ammo,1 Low
56dff4ecd2720b5f5a8b4568,5.45x39 mm US,Ammo,1 Low
5447ac644bdc2d6c208b4567,5.56x45 M193 Ball ammo,Ammo,1 Low
59e6920f86f77411d82aa167,5.56x45 mm 55 FMJ,Ammo,1 Low
59e6927d86f77411da468256,5.56x45 mm 55 HP,Ammo,1 Low
54527a984bdc2d4e668b4567,5.56x45 mm M855,Ammo,1 Low
54527ac44bdc2d36668b4567,5.56x45 mm M855A1,Ammo,3 High
59e68f6f86f7746c9f75e846,5.56x45 mm M856,Ammo,1 Low
59e6906286f7746c9f75e847,5.56x45 mm M856A1,Ammo,3 High
59e690b686f7746c9f75e848,5.56x45 mm M995,Ammo,3 High
59e6918f86f7746c9f75e849,5.56x45 mm Mk 255 Mod 0,Ammo,1 Low
5c0d5ae286f7741e46554302,5.56x45 mm Warmage,Ammo,2 Medium
5cc80f53e4a949000e1ea4f8,5.7x28 mm L191,Ammo,2 Medium
5cc86832d7f00c000d3a6e6c,5.7x28 mm R37.F,Ammo,2 Medium
5cc86840d7f00c002412c56c,5.7x28 mm R37.X,Ammo,2 Medium
5cc80f67e4a949035e43bbba,5.7x28 mm SB193,Ammo,3 High
5cc80f38e4a949001152b560,5.7x28 mm SS190,Ammo,2 Medium
5cc80f8fe4a949033b0224a2,5.7x28 mm SS197SR,Ammo,1 Low
5cc80f79e4a949033c7343b2,5.7x28 mm SS198LF,Ammo,2 Medium
5888945a2459774bf43ba385,500mm .308 barrel for DVL-10,Attachments,1 Low
5a787f7ac5856700177af660,508mm barrel for M870 12ga,Attachments,2 Medium
5a787ebcc5856700142fdd98,508mm barrel for M870 12ga with a fixed sight,Attachments,1 Low
55d4491a4bdc2d882f8b456e,510mm barrel for MP-133 12ga,Attachments,1 Low
560835c74bdc2dc8488b456f,510mm barrel for MP-133 12ga shotgun with rib,Attachments,1 Low
560836484bdc2d20478b456e,540mm barrel for MP-133 12ga shotgun,Attachments,1 Low
560836b64bdc2d57468b4567,540mm barrel for MR-133 12ga shotgun with rib,Attachments,1 Low
59fafb5d86f774067a6f2084,Propane,Barter Items,2 Medium
5d25a4a98abbc30b917421a4,5-round .308 AICS M700 magazine,Attachments,1 Low
5bfea7ad0db834001c38f1ee,5-round .308 M700 magazine,Attachments,1 Low
5df25b6c0b92095fd441e4cf,5-round .308 T-5000 magazine,Attachments,1 Low
5c6161fb2e221600113fbde5,5-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,Attachments,1 Low
5c5db5962e2216000e5e46eb,"6.5"" 9x19 barrel for MPX",Attachments,1 Low
55d482194bdc2d1d4e8b456b,60-round 6L31 5.45x39 magazine for AK-74 and compatibles,Attachments,2 Medium
544a37c44bdc2d25388b4567,60-round MAG5-60 5.56x45 STANAG magazine,Attachments,2 Medium
588200af24597742fa221dfb,610 mm barrel for MP-153 12ga shotgun,Attachments,1 Low
55d448594bdc2d8c2f8b4569,610mm barrel for MP-133 12ga shotgun,Attachments,1 Low
55d449444bdc2d962f8b456d,610mm barrel for MP-133 12ga shotgun with rib,Attachments,1 Low
588200c224597743990da9ed,660 mm barrel for MP-153 12ga shotgun,Attachments,1 Low
5888956924597752983e182d,660mm .308 barrel for DVL-10 M2,Attachments,1 Low
5df256570dee1b22f862e9c4,660mm .308 barrel for T-5000,Attachments,2 Medium
560837154bdc2da74d8b4568,660mm barrel for MP-133 12ga shotgun with rib,Attachments,1 Low
560836fb4bdc2d773f8b4569,660mm barrel for MR-133 12ga shotgun,Attachments,1 Low
5a787fadc5856700155a6ca1,660mm vent rib barrel for M870 12ga,Attachments,1 Low
5c0e53c886f7747fa54205c7,6B13 assault armor (digital flora pattern),Armor Vest,1 Low
5c0e51be86f774598e797894,6B13 assault armor (flora pattern),Armor Vest,1 Low
5c0e541586f7747fa54205c9,Killa Armor,Armor Vest,3 High
5df8a2ca86f7740bfe6df777,6B2 armor (flora),Armor Vest,1 Low
5c0e5bab86f77461f55ed1f3,6B23-1 armor (digital flora pattern),Armor Vest,1 Low
5c0e57ba86f7747fa141986d,6B23-2 armor (mountain flora pattern),Armor Vest,1 Low
5b432be65acfc433000ed01f,6B34 Anti-fragmentation glasses,Vanity,1 Low
5d5d646386f7742797261fd9,6B3TM-01M armored rig,Armored Rig,1 Low
545cdb794bdc2d3a198b456a,6B43 Lv6 Armor,Armor Vest,2 Medium
5aa7cfc0e5b5b00015693143,6B47 Helm (flora),Helmet,1 Low
5a7c4850e899ef00150be885,6B47 Rat. Helm,Helmet,1 Low
5c0e446786f7742013381639,"6B5-15 Zh -86 ""Uley"" armored rig",Armored Rig,1 Low
5c0e3eb886f7742015526062,"6B5-16 Zh -86 ""Uley"" armored rig",Armored Rig,1 Low
5bffdc370db834001d23eca8,6h5 Bayonet,Weapons M,1 Low
564ca9df4bdc2d35148b4569,6L18 45-round 5.45x39 magazine for AK-74 and compatible weapons,Attachments,1 Low
564ca99c4bdc2d16268b4589,6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons,Attachments,1 Low
5ac66c5d5acfc4001718d314,6L29 30-round 5.56x45 magazine for AK-101 and compatible weapons,Attachments,1 Low
5df8a4d786f77412672a1e3b,Raid BP,Backpack,4 Ultra
55d484b44bdc2d1d4e8b456d,6-shell MP-133x6 12ga magazine,Attachments,1 Low
5d03794386f77420415576f5,Tank Battery,Barter Items,3 High
5735fdcd2459776445391d61,7.62x25mm TT AKBS,Ammo,1 Low
5735ff5c245977640e39ba7e,7.62x25mm TT FMJ43,Ammo,1 Low
573601b42459776410737435,7.62x25mm TT LRN,Ammo,1 Low
573602322459776445391df1,7.62x25mm TT LRNPC,Ammo,1 Low
5736026a245977644601dc61,7.62x25mm TT P gl,Ammo,1 Low
573603562459776430731618,7.62x25mm TT Pst gzh,Ammo,1 Low
573603c924597764442bd9cb,7.62x25mm TT PT gzh,Ammo,1 Low
59e0d99486f7744a32234762,7.62x39 mm BP,Ammo,3 High
59e4d3d286f774176a36250a,7.62x39 mm HP,Ammo,1 Low
5656d7c34bdc2d9d198b4587,7.62x39 mm PS,Ammo,1 Low
59e4cf5286f7741778269d8a,7.62x39 mm T45M,Ammo,1 Low
59e4d24686f7741776641ac7,7.62x39 mm US,Ammo,1 Low
5649ed104bdc2d3d1c8b458b,7.62x39 PS ammo package,Ammo Pack,1 Low
59e5d83b86f7745aed03d262,"7.62x39 ribbed metal magazine for AK and compatibles, 10-round capacity",Attachments,1 Low
5c503ad32e2216398b5aada2,"7.62x51 metal magazine for VPO-101 and compatibles, 10-round capacity",Attachments,1 Low
5c503ac82e221602b21d6e9a,"7.62x51 metal magazine for VPO-101 and compatibles, 5-round capacity",Attachments,1 Low
5e023e53d4353e3302577c4c,7.62x51 mm BPZ FMJ,Ammo,1 Low
5a6086ea4f39f99cd479502f,7.62x51 mm M61,Ammo,3 High
5a608bf24f39f98ffc77720e,7.62x51 mm M62,Ammo,3 High
58dd3ad986f77403051cba8f,7.62x51 mm M80,Ammo,2 Medium
5e023e6e34d52a55c3304f71,7.62x51 mm TPZ SP,Ammo,1 Low
5e023e88277cce2b522ff2b1,7.62x51 mm Ultra Nosler,Ammo,2 Medium
560d75f54bdc2da74d8b4573,7.62x54 R SNB ammo,Ammo,2 Medium
5e023d34e8a400319a28ed44,7.62x54R 7BT1,Ammo,3 High
59e77a2386f7742ee578960a,7.62x54R 7N1 Sniper cartridge,Ammo,3 High
5e023d48186a883be655e551,7.62x54R 7N37,Ammo,3 High
5887431f2459777e1612938f,7.62x54R LPS Gzh,Ammo,1 Low
5bae13ded4351e44f824bf38,"7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity",Attachments,2 Medium
560d61e84bdc2da74d8b4571,7.62x54R SNB,Ammo,2 Medium
5e023cf8186a883be655e54f,7.62x54R T-46M,Ammo,1 Low
588200cf2459774414733d55,710 mm barrel for MP-153 12ga shotgun,Attachments,1 Low
5608373c4bdc2dc8488b4570,710mm barrel for MP-133 12ga shotgun,Attachments,1 Low
560837544bdc2de22e8b456e,710mm barrel for MR-133 12ga shotgun with rib,Attachments,1 Low
56deec93d2720bec348b4568,750 mm barrel for MP-153 12ga shotgun,Attachments,1 Low
560837824bdc2d57468b4568,750mm barrel for MP-133 12ga shotgun,Attachments,1 Low
5608379a4bdc2d26448b4569,750mm barrel for MP-133 12ga shotgun with rib,Attachments,1 Low
5a78830bc5856700137e4c90,7-shell M870x7 12ga magazine,Attachments,1 Low
5c1260dc86f7746b106e8748,8 pcs pack of 9x39 7N12 BP ammo,Ammo Pack,2 Medium
5c12619186f7743f871c8a32,8 pcs pack of 9x39 7N9 SPP ammo,Ammo Pack,2 Medium
55d485804bdc2d8c2f8b456b,8-shell MP-133x8 12ga magazine,Attachments,1 Low
5448c12b4bdc2d02308b456f,"90-93 9x18PM Magazine, for 8 PM rounds",Attachments,1 Low
59d6272486f77466146386ff,95-round 5.45x39 magazine for RPK-16 and compatibles,Attachments,1 Low
5bed625c0db834001c062946,95-round 5.45x39 magazine for RPK-16 and compatibles,Attachments,1 Low
573718ba2459775a75491131,9x18 mm PM 9 BZT gzh,Ammo,1 Low
573719762459775a626ccbc1,9x18 mm PM 9 P gzh,Ammo,1 Low
573719df2459775a626ccbc2,9x18 mm PM PBM,Ammo,1 Low
57371aab2459775a77142f22,9x18 mm PM PMM,Ammo,1 Low
57371b192459775a9f58a5e0,9x18 mm PM PPe gzh,Ammo,1 Low
57371e4124597760ff7b25f1,9x18 mm PM PPT gzh,Ammo,1 Low
57371eb62459776125652ac1,9x18 mm PM PRS gs,Ammo,1 Low
57371f2b24597761224311f1,9x18 mm PM PS gs PPO,Ammo,1 Low
57371f8d24597761006c6a81,9x18 mm PM PSO gzh,Ammo,1 Low
5737201124597760fc4431f1,9x18 mm PM Pst gzh,Ammo,1 Low
5737207f24597760ff7b25f2,9x18 mm PM PSV,Ammo,1 Low
57372140245977611f70ee91,9x18 mm PM SP7 gzh,Ammo,2 Medium
5737218f245977612125ba51,9x18 mm PM SP8 gzh,Ammo,1 Low
573720e02459776143012541,9x18 PM mm RG028 gzh,Ammo,1 Low
5c925fa22e221601da359b7b,9x19 mm AP 6.3,Ammo,3 High
5c3df7d588a4501f290594e5,9x19 mm Green Tracer,Ammo,1 Low
5a3c16fe86f77452b62de32a,9x19 mm Luger CCI,Ammo,2 Medium
58864a4f2459770fcc257101,9x19 mm PSO gzh,Ammo,1 Low
56d59d3ad2720bdb418b4577,9x19 mm Pst gzh,Ammo,1 Low
5c0d56a986f774449d5de529,9x19 mm RIP,Ammo,3 High
5a269f97c4a282000b151807,9x21 mm SP10,Ammo,1 Low
5a26abfac4a28232980eabff,9x21 mm SP11,Ammo,1 Low
5a26ac06c4a282000c5a90a8,9x21 mm SP12,Ammo,1 Low
